,geometry
110,"POLYGON ((1058433.434877821 7446684.861747535, 1058433.434877821 7456684.861747535, 1048433.434877821 7456684.861747535, 1048433.434877821 7446684.861747535, 1058433.434877821 7446684.861747535))"
111,"POLYGON ((968433.4348778214 7726684.861747535, 968433.4348778214 7736684.861747535, 958433.4348778214 7736684.861747535, 958433.4348778214 7726684.861747535, 968433.4348778214 7726684.861747535))"
112,"POLYGON ((1278433.434877821 7416684.861747535, 1278433.434877821 7426684.861747535, 1268433.434877821 7426684.861747535, 1268433.434877821 7416684.861747535, 1278433.434877821 7416684.861747535))"
113,"POLYGON ((1308433.434877821 7466684.861747535, 1308433.434877821 7476684.861747535, 1298433.434877821 7476684.861747535, 1298433.434877821 7466684.861747535, 1308433.434877821 7466684.861747535))"
114,"POLYGON ((1038433.434877821 7516684.861747535, 1038433.434877821 7526684.861747535, 1028433.434877821 7526684.861747535, 1028433.434877821 7516684.861747535, 1038433.434877821 7516684.861747535))"
115,"POLYGON ((998433.4348778214 7386684.861747535, 998433.4348778214 7396684.861747535, 988433.4348778214 7396684.861747535, 988433.4348778214 7386684.861747535, 998433.4348778214 7386684.861747535))"
116,"POLYGON ((958433.4348778214 7676684.861747535, 958433.4348778214 7686684.861747535, 948433.4348778214 7686684.861747535, 948433.4348778214 7676684.861747535, 958433.4348778214 7676684.861747535))"
117,"POLYGON ((1168433.434877821 7806684.861747535, 1168433.434877821 7816684.861747535, 1158433.434877821 7816684.861747535, 1158433.434877821 7806684.861747535, 1168433.434877821 7806684.861747535))"
118,"POLYGON ((1228433.434877821 7816684.861747535, 1228433.434877821 7826684.861747535, 1218433.434877821 7826684.861747535, 1218433.434877821 7816684.861747535, 1228433.434877821 7816684.861747535))"
119,"POLYGON ((1158433.434877821 7456684.861747535, 1158433.434877821 7466684.861747535, 1148433.434877821 7466684.861747535, 1148433.434877821 7456684.861747535, 1158433.434877821 7456684.861747535))"
120,"POLYGON ((1028433.434877821 7356684.861747535, 1028433.434877821 7366684.861747535, 1018433.434877821 7366684.861747535, 1018433.434877821 7356684.861747535, 1028433.434877821 7356684.861747535))"
121,"POLYGON ((1168433.434877821 7436684.861747535, 1168433.434877821 7446684.861747535, 1158433.434877821 7446684.861747535, 1158433.434877821 7436684.861747535, 1168433.434877821 7436684.861747535))"
122,"POLYGON ((948433.4348778214 7676684.861747535, 948433.4348778214 7686684.861747535, 938433.4348778214 7686684.861747535, 938433.4348778214 7676684.861747535, 948433.4348778214 7676684.861747535))"
123,"POLYGON ((968433.4348778214 7656684.861747535, 968433.4348778214 7666684.861747535, 958433.4348778214 7666684.861747535, 958433.4348778214 7656684.861747535, 968433.4348778214 7656684.861747535))"
124,"POLYGON ((988433.4348778214 7476684.861747535, 988433.4348778214 7486684.861747535, 978433.4348778214 7486684.861747535, 978433.4348778214 7476684.861747535, 988433.4348778214 7476684.861747535))"
125,"POLYGON ((978433.4348778214 7526684.861747535, 978433.4348778214 7536684.861747535, 968433.4348778214 7536684.861747535, 968433.4348778214 7526684.861747535, 978433.4348778214 7526684.861747535))"
126,"POLYGON ((1028433.434877821 7786684.861747535, 1028433.434877821 7796684.861747535, 1018433.434877821 7796684.861747535, 1018433.434877821 7786684.861747535, 1028433.434877821 7786684.861747535))"
127,"POLYGON ((1118433.434877821 7626684.861747535, 1118433.434877821 7636684.861747535, 1108433.434877821 7636684.861747535, 1108433.434877821 7626684.861747535, 1118433.434877821 7626684.861747535))"
128,"POLYGON ((928433.4348778214 7596684.861747535, 928433.4348778214 7606684.861747535, 918433.4348778214 7606684.861747535, 918433.4348778214 7596684.861747535, 928433.4348778214 7596684.861747535))"
